model,pr_auc,roc_auc,recall_at_5pct_fpr,recall_at_10pct_fpr,precision_at_75pct_recall,f1_fraud,precision_fraud,recall_fraud,threshold,true_negative,false_positive,false_negative,true_positive,false_positive_rate
Autoencoder,0.017273390461489308,0.5680365960959652,0.06184850590687978,0.13968033356497567,0.015620026045434814,0.011361330898762427,0.013651877133105802,0.009728978457261988,0.5,200110,2023,2850,28,0.010008261886975407
MLP,0.16717732350813697,0.876898935225521,0.4930507296733843,0.653578874218207,0.06356543500662447,0.09434907153302217,0.05006058287099037,0.8182765809589994,0.5,157445,44688,523,2355,0.22108215877664705
