model,pr_auc,roc_auc,recall_at_5pct_fpr,recall_at_10pct_fpr,precision_at_75pct_recall,f1_fraud,precision_fraud,recall_fraud,threshold,true_negative,false_positive,false_negative,true_positive,false_positive_rate
Random Forest,0.1405084942806081,0.8718756195542846,0.4794996525364837,0.6309937456567061,0.05790263778683251,0.15563993745811927,0.08930127646485878,0.6052814454482279,0.5,184368,17765,1136,1742,0.08788767791503614
LightGBM,0.18783601613396436,0.8898729036754907,0.5392633773453788,0.6817234190410006,0.06926531921719602,0.1305585309869931,0.0715843876900359,0.7411396803335649,0.5,174469,27664,745,2133,0.13686038400459102
XGBoost,0.18385660375585405,0.8881532331898508,0.5333564975677554,0.6751216122307158,0.06882371692700032,0.13147250439991354,0.07214748042969941,0.7397498262682418,0.5,174753,27380,749,2129,0.1354553684950008
CatBoost,0.19732632036488515,0.8923638945888795,0.5441278665740097,0.6897150799166087,0.07237635705669482,0.114876074606606,0.06191740732711901,0.7939541348158443,0.5,167514,34619,593,2285,0.17126842227642197
AdaBoost,0.06170279864574384,0.812651727251036,0.0,0.5086865879082696,0.040961111214831133,0.08194311030954107,0.043421353333471836,0.7261987491313412,0.5,156090,46043,788,2090,0.22778566587345955
