model,pr_auc,roc_auc,recall_at_5pct_fpr,recall_at_10pct_fpr,precision_at_75pct_recall,f1_fraud,precision_fraud,recall_fraud,threshold,true_negative,false_positive,false_negative,true_positive,false_positive_rate
Dummy Classifier,0.01405861117354124,0.5006523348914681,0.011466296038915913,0.011466296038915913,0.014038271117159567,0.013293051359516616,0.01581217057977959,0.011466296038915913,0.5,200079,2054,2845,33,0.010161626255979973
Logistic Regression,0.15147462721624927,0.8701834476654636,0.4722029186935372,0.627866574009729,0.05695367732404769,0.10409345616867699,0.05586421326265355,0.7616400277970813,0.5,165087,37046,686,2192,0.18327536819816656
