age,n,fraud_rate,positive_rate,fpr,fnr,recall,precision,disparate_impact_ratio,attribute,income_level,employment
10.0,5096,0.0043171114599686025,0.0005886970172684458,0.00039416633819471815,0.9545454545454546,0.045454545454545456,0.3333333333333333,0.0031533307055577452,age,,
20.0,46341,0.00666796141645627,0.004466886774130899,0.003519290928050052,0.8543689320388349,0.14563106796116504,0.21739130434782608,0.028154327424400417,age,,
30.0,63322,0.01127570196772054,0.011512586462840719,0.009232047022744697,0.788515406162465,0.211484593837535,0.20713305898491083,0.07385637618195758,age,,
40.0,56473,0.014945195048961451,0.020487666672569193,0.016358374229268908,0.707345971563981,0.29265402843601895,0.21348314606741572,0.13086699383415126,age,,
50.0,25676,0.024536532170119956,0.0415563171833619,0.03293939151960393,0.6158730158730159,0.38412698412698415,0.2268041237113402,0.2635151321568314,age,,
60.0,6464,0.04285272277227723,0.06775990099009901,0.04945854210441248,0.5234657039711191,0.47653429602888087,0.3013698630136986,0.39566833683529984,age,,
70.0,1339,0.05078416728902166,0.06497386109036594,0.04720692368214005,0.6029411764705882,0.39705882352941174,0.3103448275862069,0.3776553894571204,age,,
80.0,284,0.04929577464788732,0.09859154929577464,0.07407407407407407,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.5925925925925926,age,,
90.0,16,0.0,0.125,0.125,0.0,0.0,0.0,1.0,age,,
,22600,0.007123893805309735,0.004292035398230088,0.003431525469049423,0.8757763975155279,0.12422360248447205,0.20618556701030927,0.12243844057706565,income_quintile,0.1,
,11277,0.006828057107386716,0.004699831515473973,0.0033928571428571428,0.8051948051948052,0.19480519480519481,0.2830188679245283,0.12105873653540525,income_quintile,0.2,
,8528,0.008325515947467168,0.00773921200750469,0.00555752630956604,0.7323943661971831,0.2676056338028169,0.2878787878787879,0.1982951491826681,income_quintile,0.3,
,14562,0.009339376459277572,0.008034610630407911,0.006100097046998475,0.7867647058823529,0.21323529411764705,0.24786324786324787,0.21765432794825026,income_quintile,0.4,
,10254,0.009167154281256095,0.009264677199141797,0.008070866141732283,0.8617021276595744,0.13829787234042554,0.1368421052631579,0.28797229494953425,income_quintile,0.5,
,22025,0.01076049943246311,0.01039727582292849,0.00816963466128144,0.7848101265822784,0.21518987341772153,0.22270742358078602,0.2914964021201723,income_quintile,0.6000000000000001,
,22189,0.009914822659876515,0.011717517688944972,0.009695479994537758,0.7863636363636364,0.21363636363636362,0.18076923076923077,0.3459392803242641,income_quintile,0.7000000000000001,
,34359,0.01152536453331005,0.018568642859221746,0.015428554603539146,0.7121212121212122,0.2878787878787879,0.1786833855799373,0.5504980752885775,income_quintile,0.8,
,59217,0.025094145262340207,0.03652667308374284,0.02802653686927301,0.6332436069986541,0.3667563930013459,0.25196486361534903,1.0,income_quintile,0.9,
,158709,0.015203926683426901,0.020786470836562515,0.01627040999129856,0.6866970576046415,0.3133029423953585,0.22916035162170353,0.5702778701950145,employment_status,,0.0
,22838,0.009457921008844907,0.0070058674139591905,0.0058792326054283445,0.875,0.125,0.16875,0.20606710282026347,employment_status,,1.0
,6511,0.03102442021194901,0.03824297342958071,0.028530670470756064,0.6584158415841584,0.3415841584158416,0.27710843373493976,1.0,employment_status,,2.0
,4517,0.002878016382554793,0.0017710870046491033,0.0015541740674955595,0.9230769230769231,0.07692307692307693,0.125,0.054473801065719356,employment_status,,3.0
,4550,0.0032967032967032967,0.00021978021978021978,0.0002205071664829107,1.0,0.0,0.0,0.00772877618522602,employment_status,,4.0
,7805,0.0021780909673286353,0.00012812299807815503,0.00012840267077555214,1.0,0.0,0.0,0.004500513610683102,employment_status,,5.0
,81,0.024691358024691357,0.0,0.0,1.0,0.0,0.0,0.0,employment_status,,6.0
